Plot,Species,Abundance,PID,Incidence,Longitude,Latitude,Range_Edge_Distance,Forest_Cover_Percentage,Edge_Dist_in_km,posdistancekm,sqrtdistancekmpos,sqrt_dist_edge,forest_cover_prop
10,chiroderma.trinitatum,0,PID0058,0,-5074632.229,-106252.15,757944.4145,61.40670554,757.9444145,757.9444145,27.5307903,27.5307903,0.614067055
10,rhipidomys.leucodactylus,0,PID0069,0,-5074632.229,-106252.15,96796.43677,61.40670554,96.79643677,96.79643677,9.838518017,9.838518017,0.614067055
10,micoureus.demerarae,0,PID0069,0,-5074632.229,-106252.15,1450712.074,61.40670554,1450.712074,1450.712074,38.08821437,38.08821437,0.614067055
10,marmosops.pinheiroi,0,PID0069,0,-5074632.229,-106252.15,-58560.90015,61.40670554,-58.56090015,58.56090015,7.652509402,-7.652509402,0.614067055
10,oryzomys.macconnelli,0,PID0069,0,-5074632.229,-106252.15,369240.6134,61.40670554,369.2406134,369.2406134,19.21563461,19.21563461,0.614067055
10,mesomys.hispidus,0,PID0069,0,-5074632.229,-106252.15,107770.8014,61.40670554,107.7708014,107.7708014,10.38127167,10.38127167,0.614067055
10,oecomys.rex,0,PID0069,0,-5074632.229,-106252.15,-16617.29663,61.40670554,-16.61729663,16.61729663,4.07643185,-4.07643185,0.614067055
10,proechimys.cuvieri,0,PID0069,0,-5074632.229,-106252.15,446177.9053,61.40670554,446.1779053,446.1779053,21.12292369,21.12292369,0.614067055
10,philander.opossum,0,PID0069,0,-5074632.229,-106252.15,540282.3399,61.40670554,540.2823399,540.2823399,23.24397427,23.24397427,0.614067055
10,oryzomys.megacephalus,0,PID0069,0,-5074632.229,-106252.15,146370.1282,61.40670554,146.3701282,146.3701282,12.09835229,12.09835229,0.614067055
10,oecomys.auyantepui,0,PID0069,0,-5074632.229,-106252.15,77880.16062,61.40670554,77.88016062,77.88016062,8.824973689,8.824973689,0.614067055
10,oecomys.bicolor,0,PID0069,0,-5074632.229,-106252.15,434950.1256,61.40670554,434.9501256,434.9501256,20.85545793,20.85545793,0.614067055
10,caluromys.philander,0,PID0069,0,-5074632.229,-106252.15,115640.3084,61.40670554,115.6403084,115.6403084,10.75361839,10.75361839,0.614067055
10,neacomys.guianae,0,PID0069,0,-5074632.229,-106252.15,-486197.6512,61.40670554,-486.1976512,486.1976512,22.04989005,-22.04989005,0.614067055
10,metachirus.nudicaudatus,0,PID0069,0,-5074632.229,-106252.15,614529.7318,61.40670554,614.5297318,614.5297318,24.7897102,24.7897102,0.614067055
10,marmosops.parvidens,1,PID0069,1,-5074632.229,-106252.15,89701.00881,61.40670554,89.70100881,89.70100881,9.471061652,9.471061652,0.614067055
10,proechimys.guyannensis,0,PID0069,0,-5074632.229,-106252.15,104932.5538,61.40670554,104.9325538,104.9325538,10.2436592,10.2436592,0.614067055
10,didelphis.marsupialis,0,PID0069,0,-5074632.229,-106252.15,814080.9854,61.40670554,814.0809854,814.0809854,28.53210447,28.53210447,0.614067055
10,monodelphis.brevicaudata,0,PID0069,0,-5074632.229,-106252.15,248731.8842,61.40670554,248.7318842,248.7318842,15.77123598,15.77123598,0.614067055
10,neacomys.paracou,0,PID0069,0,-5074632.229,-106252.15,-122149.4658,61.40670554,-122.1494658,122.1494658,11.05212495,-11.05212495,0.614067055
10,oecomys.rutilus,0,PID0069,0,-5074632.229,-106252.15,92871.75627,61.40670554,92.87175627,92.87175627,9.63699934,9.63699934,0.614067055
10,marmosa.murina,0,PID0069,0,-5074632.229,-106252.15,855804.0207,61.40670554,855.8040207,855.8040207,29.25412827,29.25412827,0.614067055
10,echimys.chrysurus,0,PID0069,0,-5074632.229,-106252.15,266560.8246,61.40670554,266.5608246,266.5608246,16.32669056,16.32669056,0.614067055
10,oryzomys.emmonsae,0,PID0069,0,-5074632.229,-106252.15,-229702.4639,61.40670554,-229.7024639,229.7024639,15.15593824,-15.15593824,0.614067055
10,oligoryzomys.fulvescens,0,PID0069,0,-5074632.229,-106252.15,-121928.5528,61.40670554,-121.9285528,121.9285528,11.04212628,-11.04212628,0.614067055
10,oecomys.trinitatis,0,PID0069,0,-5074632.229,-106252.15,52036.99356,61.40670554,52.03699356,52.03699356,7.213667137,7.213667137,0.614067055
14,lonchorhina.aurita,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,phyllostomus.elongatus,1,PID0058,1,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,chiroderma.villosum,0,PID0058,0,-5080798.667,-106259.8036,675709.931,50.18248175,675.709931,675.709931,25.99442115,25.99442115,0.501824818
14,trinycteris.nicefori,0,PID0058,0,-5080798.667,-106259.8036,118073.0665,50.18248175,118.0730665,118.0730665,10.86614313,10.86614313,0.501824818
14,artibeus.gnomus,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,desmodus.rotundus,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,uroderma.magnirostrum,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,artibeus.planirostris,1,PID0058,1,-5080798.667,-106259.8036,396943.5515,50.18248175,396.9435515,396.9435515,19.92344226,19.92344226,0.501824818
14,cynomops.planirostris,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,tonatia.saurophila,0,PID0058,0,-5080798.667,-106259.8036,318227.9827,50.18248175,318.2279827,318.2279827,17.83894567,17.83894567,0.501824818
14,lophostoma.silvicolum,0,PID0058,0,-5080798.667,-106259.8036,565907.0612,50.18248175,565.9070612,565.9070612,23.78880117,23.78880117,0.501824818
14,mimon.bennettii,0,PID0058,0,-5080798.667,-106259.8036,79771.00849,50.18248175,79.77100849,79.77100849,8.931461722,8.931461722,0.501824818
14,trachops.cirrhosus,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,sturnira.lilium,0,PID0058,0,-5080798.667,-106259.8036,-1025598.838,50.18248175,-1025.598838,1025.598838,32.0249721,-32.0249721,0.501824818
14,cynomops.greenhalli,0,PID0058,0,-5080798.667,-106259.8036,435887.6659,50.18248175,435.8876659,435.8876659,20.87792293,20.87792293,0.501824818
14,carollia.perspicillata,198,PID0058,1,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,lonchophylla.thomasi,0,PID0058,0,-5080798.667,-106259.8036,714657.7286,50.18248175,714.6577286,714.6577286,26.73308304,26.73308304,0.501824818
14,cormura.brevirostris,0,PID0058,0,-5080798.667,-106259.8036,622312.4951,50.18248175,622.3124951,622.3124951,24.946192,24.946192,0.501824818
14,vampyrodes.caraccioli,0,PID0058,0,-5080798.667,-106259.8036,572985.5915,50.18248175,572.9855915,572.9855915,23.93711744,23.93711744,0.501824818
14,artibeus.concolor,0,PID0058,0,-5080798.667,-106259.8036,1034213.032,50.18248175,1034.213032,1034.213032,32.1591827,32.1591827,0.501824818
14,tonatia.schulzi,0,PID0058,0,-5080798.667,-106259.8036,-137181.6868,50.18248175,-137.1816868,137.1816868,11.71245861,-11.71245861,0.501824818
14,uroderma.bilobatum,2,PID0058,1,-5080798.667,-106259.8036,295991.866,50.18248175,295.991866,295.991866,17.20441414,17.20441414,0.501824818
14,chrotopterus.auritus,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,myotis.riparius,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,phyllostomus.discolor,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,saccopteryx.leptura,0,PID0058,0,-5080798.667,-106259.8036,1447269.45,50.18248175,1447.26945,1447.26945,38.04299476,38.04299476,0.501824818
14,micronycteris.minuta,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,vampyressa.bidens,0,PID0058,0,-5080798.667,-106259.8036,566558.6911,50.18248175,566.5586911,566.5586911,23.80249338,23.80249338,0.501824818
14,micronycteris.schmidtorum,0,PID0058,0,-5080798.667,-106259.8036,471402.0758,50.18248175,471.4020758,471.4020758,21.71179578,21.71179578,0.501824818
14,artibeus.lituratus,2,PID0058,1,-5080798.667,-106259.8036,1447284.559,50.18248175,1447.284559,1447.284559,38.04319333,38.04319333,0.501824818
14,mesophylla.macconnelli,0,PID0058,0,-5080798.667,-106259.8036,623610.809,50.18248175,623.610809,623.610809,24.97220072,24.97220072,0.501824818
14,micronycteris.megalotis,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,phylloderma.stenops,0,PID0058,0,-5080798.667,-106259.8036,1264845.573,50.18248175,1264.845573,1264.845573,35.56466748,35.56466748,0.501824818
14,chiroderma.trinitatum,0,PID0058,0,-5080798.667,-106259.8036,764010.1367,50.18248175,764.0101367,764.0101367,27.64073329,27.64073329,0.501824818
14,artibeus.cinereus,6,PID0058,1,-5080798.667,-106259.8036,420194.843,50.18248175,420.194843,420.194843,20.49865466,20.49865466,0.501824818
14,choeroniscus.minor,0,PID0058,0,-5080798.667,-106259.8036,399847.2484,50.18248175,399.8472484,399.8472484,19.99618085,19.99618085,0.501824818
14,ametrida.centurio,0,PID0058,0,-5080798.667,-106259.8036,612920.4929,50.18248175,612.9204929,612.9204929,24.75723112,24.75723112,0.501824818
14,platyrrhinus.helleri,0,PID0058,0,-5080798.667,-106259.8036,728447.044,50.18248175,728.447044,728.447044,26.98975813,26.98975813,0.501824818
14,vampyressa.brocki,0,PID0058,0,-5080798.667,-106259.8036,-496405.8118,50.18248175,-496.4058118,496.4058118,22.28016633,-22.28016633,0.501824818
14,sturnira.tildae,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,peropteryx.leucoptera,0,PID0058,0,-5080798.667,-106259.8036,618695.4391,50.18248175,618.6954391,618.6954391,24.87358919,24.87358919,0.501824818
14,thyroptera.tricolor,0,PID0058,0,-5080798.667,-106259.8036,1049242.267,50.18248175,1049.242267,1049.242267,32.39200931,32.39200931,0.501824818
14,mimon.crenulatum,0,PID0058,0,-5080798.667,-106259.8036,456012.8329,50.18248175,456.0128329,456.0128329,21.35445698,21.35445698,0.501824818
14,saccopteryx.bilineata,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,phyllostomus.hastatus,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,carollia.brevicauda,6,PID0058,1,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,glossophaga.soricina,13,PID0058,1,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,rhinophylla.pumilio,4,PID0058,1,-5080798.667,-106259.8036,1114842.559,50.18248175,1114.842559,1114.842559,33.38925814,33.38925814,0.501824818
14,lophostoma.brasiliense,0,PID0058,0,-5080798.667,-106259.8036,654647.1092,50.18248175,654.6471092,654.6471092,25.58607256,25.58607256,0.501824818
14,artibeus.obscurus,0,PID0058,0,-5080798.667,-106259.8036,1447269.354,50.18248175,1447.269354,1447.269354,38.04299349,38.04299349,0.501824818
14,oecomys.auyantepui,0,PID0069,0,-5080798.667,-106259.8036,82035.44386,50.18248175,82.03544386,82.03544386,9.057341986,9.057341986,0.501824818
14,monodelphis.brevicaudata,1,PID0069,1,-5080798.667,-106259.8036,250013.8996,50.18248175,250.0138996,250.0138996,15.81182784,15.81182784,0.501824818
14,mesomys.hispidus,0,PID0069,0,-5080798.667,-106259.8036,108588.1698,50.18248175,108.5881698,108.5881698,10.42056475,10.42056475,0.501824818
14,oecomys.bicolor,0,PID0069,0,-5080798.667,-106259.8036,441109.1785,50.18248175,441.1091785,441.1091785,21.00259933,21.00259933,0.501824818
14,echimys.chrysurus,0,PID0069,0,-5080798.667,-106259.8036,261796.9326,50.18248175,261.7969326,261.7969326,16.18014007,16.18014007,0.501824818
14,oecomys.rex,1,PID0069,1,-5080798.667,-106259.8036,-22520.23715,50.18248175,-22.52023715,22.52023715,4.745549194,-4.745549194,0.501824818
14,proechimys.guyannensis,4,PID0069,1,-5080798.667,-106259.8036,103702.2209,50.18248175,103.7022209,103.7022209,10.18342874,10.18342874,0.501824818
14,oryzomys.emmonsae,0,PID0069,0,-5080798.667,-106259.8036,-230925.3672,50.18248175,-230.9253672,230.9253672,15.19622872,-15.19622872,0.501824818
14,oryzomys.megacephalus,0,PID0069,0,-5080798.667,-106259.8036,151096.7354,50.18248175,151.0967354,151.0967354,12.2921412,12.2921412,0.501824818
14,didelphis.marsupialis,0,PID0069,0,-5080798.667,-106259.8036,819709.8315,50.18248175,819.7098315,819.7098315,28.63057512,28.63057512,0.501824818
14,marmosops.parvidens,0,PID0069,0,-5080798.667,-106259.8036,95465.95243,50.18248175,95.46595243,95.46595243,9.770667962,9.770667962,0.501824818
14,marmosops.pinheiroi,0,PID0069,0,-5080798.667,-106259.8036,-64255.30885,50.18248175,-64.25530885,64.25530885,8.015940921,-8.015940921,0.501824818
14,philander.opossum,0,PID0069,0,-5080798.667,-106259.8036,545260.9703,50.18248175,545.2609703,545.2609703,23.35082376,23.35082376,0.501824818
14,proechimys.cuvieri,0,PID0069,0,-5080798.667,-106259.8036,452344.1135,50.18248175,452.3441135,452.3441135,21.26838295,21.26838295,0.501824818
14,oryzomys.macconnelli,0,PID0069,0,-5080798.667,-106259.8036,366958.8073,50.18248175,366.9588073,366.9588073,19.15616891,19.15616891,0.501824818
14,metachirus.nudicaudatus,0,PID0069,0,-5080798.667,-106259.8036,620540.689,50.18248175,620.540689,620.540689,24.91065413,24.91065413,0.501824818
14,micoureus.demerarae,0,PID0069,0,-5080798.667,-106259.8036,1447271.836,50.18248175,1447.271836,1447.271836,38.04302612,38.04302612,0.501824818
14,marmosa.murina,2,PID0069,1,-5080798.667,-106259.8036,859431.5075,50.18248175,859.4315075,859.4315075,29.31606228,29.31606228,0.501824818
14,neacomys.paracou,0,PID0069,0,-5080798.667,-106259.8036,-118980.2608,50.18248175,-118.9802608,118.9802608,10.90780733,-10.90780733,0.501824818
14,neacomys.guianae,0,PID0069,0,-5080798.667,-106259.8036,-482040.4618,50.18248175,-482.0404618,482.0404618,21.95541987,-21.95541987,0.501824818
14,oecomys.rutilus,0,PID0069,0,-5080798.667,-106259.8036,91480.05091,50.18248175,91.48005091,91.48005091,9.564520422,9.564520422,0.501824818
14,oligoryzomys.fulvescens,0,PID0069,0,-5080798.667,-106259.8036,-125821.807,50.18248175,-125.821807,125.821807,11.217032,-11.217032,0.501824818
14,caluromys.philander,0,PID0069,0,-5080798.667,-106259.8036,109756.0308,50.18248175,109.7560308,109.7560308,10.47645125,10.47645125,0.501824818
14,rhipidomys.leucodactylus,0,PID0069,0,-5080798.667,-106259.8036,95428.82462,50.18248175,95.42882462,95.42882462,9.768767815,9.768767815,0.501824818
14,oecomys.trinitatis,0,PID0069,0,-5080798.667,-106259.8036,46388.04161,50.18248175,46.38804161,46.38804161,6.810876714,6.810876714,0.501824818
52,lophostoma.silvicolum,0,PID0058,0,-5098806.866,-113271.7374,559245.0738,10.30269876,559.2450738,559.2450738,23.64836303,23.64836303,0.103026988
52,lonchorhina.aurita,0,PID0058,0,-5098806.866,-113271.7374,1443175.04,10.30269876,1443.17504,1443.17504,37.98914371,37.98914371,0.103026988
52,mimon.bennettii,0,PID0058,0,-5098806.866,-113271.7374,60544.83849,10.30269876,60.54483849,60.54483849,7.781056387,7.781056387,0.103026988
52,cynomops.planirostris,0,PID0058,0,-5098806.866,-113271.7374,1443175.04,10.30269876,1443.17504,1443.17504,37.98914371,37.98914371,0.103026988
52,chiroderma.villosum,0,PID0058,0,-5098806.866,-113271.7374,692698.3599,10.30269876,692.6983599,692.6983599,26.31916336,26.31916336,0.103026988
52,trinycteris.nicefori,0,PID0058,0,-5098806.866,-113271.7374,99097.09186,10.30269876,99.09709186,99.09709186,9.954752225,9.954752225,0.103026988
52,artibeus.gnomus,3,PID0058,1,-5098806.866,-113271.7374,1443175.04,10.30269876,1443.17504,1443.17504,37.98914371,37.98914371,0.103026988
52,uroderma.magnirostrum,1,PID0058,1,-5098806.866,-113271.7374,1443175.04,10.30269876,1443.17504,1443.17504,37.98914371,37.98914371,0.103026988
52,carollia.perspicillata,111,PID0058,1,-5098806.866,-113271.7374,1443175.04,10.30269876,1443.17504,1443.17504,37.98914371,37.98914371,0.103026988
52,trachops.cirrhosus,0,PID0058,0,-5098806.866,-113271.7374,1443175.04,10.30269876,1443.17504,1443.17504,37.98914371,37.98914371,0.103026988
52,cormura.brevirostris,0,PID0058,0,-5098806.866,-113271.7374,639497.7599,10.30269876,639.4977599,639.4977599,25.28829294,25.28829294,0.103026988
52,micronycteris.megalotis,0,PID0058,0,-5098806.866,-113271.7374,1443175.04,10.30269876,1443.17504,1443.17504,37.98914371,37.98914371,0.103026988
52,artibeus.concolor,0,PID0058,0,-5098806.866,-113271.7374,1024575.471,10.30269876,1024.575471,1024.575471,32.00899047,32.00899047,0.103026988
52,phyllostomus.elongatus,1,PID0058,1,-5098806.866,-113271.7374,1443175.04,10.30269876,1443.17504,1443.17504,37.98914371,37.98914371,0.103026988
52,sturnira.tildae,1,PID0058,1,-5098806.866,-113271.7374,1443175.04,10.30269876,1443.17504,1443.17504,37.98914371,37.98914371,0.103026988
52,cynomops.greenhalli,0,PID0058,0,-5098806.866,-113271.7374,427468.9086,10.30269876,427.4689086,427.4689086,20.67532125,20.67532125,0.103026988
52,vampyrodes.caraccioli,0,PID0058,0,-5098806.866,-113271.7374,590609.155,10.30269876,590.609155,590.609155,24.30245163,24.30245163,0.103026988
52,tonatia.saurophila,0,PID0058,0,-5098806.866,-113271.7374,319758.189,10.30269876,319.758189,319.758189,17.88178372,17.88178372,0.103026988
52,artibeus.planirostris,2,PID0058,1,-5098806.866,-113271.7374,389931.6177,10.30269876,389.9316177,389.9316177,19.74668625,19.74668625,0.103026988
52,lonchophylla.thomasi,0,PID0058,0,-5098806.866,-113271.7374,730208.2462,10.30269876,730.2082462,730.2082462,27.02236567,27.02236567,0.103026988
52,sturnira.lilium,1,PID0058,1,-5098806.866,-113271.7374,-1041263.808,10.30269876,-1041.263808,1041.263808,32.26861956,-32.26861956,0.103026988
52,micronycteris.schmidtorum,0,PID0058,0,-5098806.866,-113271.7374,466021.15,10.30269876,466.02115,466.02115,21.58752302,21.58752302,0.103026988
52,saccopteryx.leptura,0,PID0058,0,-5098806.866,-113271.7374,1443175.136,10.30269876,1443.175136,1443.175136,37.98914498,37.98914498,0.103026988
52,uroderma.bilobatum,1,PID0058,1,-5098806.866,-113271.7374,312830.2352,10.30269876,312.8302352,312.8302352,17.68700753,17.68700753,0.103026988
52,desmodus.rotundus,0,PID0058,0,-5098806.866,-113271.7374,1443175.04,10.30269876,1443.17504,1443.17504,37.98914371,37.98914371,0.103026988
52,vampyressa.brocki,0,PID0058,0,-5098806.866,-113271.7374,-489496.0577,10.30269876,-489.4960577,489.4960577,22.1245578,-22.1245578,0.103026988
52,choeroniscus.minor,0,PID0058,0,-5098806.866,-113271.7374,395990.2249,10.30269876,395.9902249,395.9902249,19.89950313,19.89950313,0.103026988
